"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-07-20","20/07/2020","20","7","2020","130","0","China","CN"
"2020-07-21","21/07/2020","21","7","2020","84","0","China","CN"
"2020-07-22","22/07/2020","22","7","2020","74","2","China","CN"
"2020-07-23","23/07/2020","23","7","2020","135","0","China","CN"
"2020-07-24","24/07/2020","24","7","2020","139","1","China","CN"
"2020-07-25","25/07/2020","25","7","2020","157","1","China","CN"
"2020-07-26","26/07/2020","26","7","2020","179","2","China","CN"
"2020-07-27","27/07/2020","27","7","2020","189","0","China","CN"
"2020-07-28","28/07/2020","28","7","2020","213","4","China","CN"
"2020-07-29","29/07/2020","29","7","2020","207","1","China","CN"
"2020-07-30","30/07/2020","30","7","2020","223","2","China","CN"
"2020-07-31","31/07/2020","31","7","2020","276","0","China","CN"
"2020-08-01","1/8/2020","1","8","2020","166","2","China","CN"
"2020-08-02","2/8/2020","2","8","2020","172","6","China","CN"
"2020-08-03","3/8/2020","3","8","2020","158","2","China","CN"
"2020-08-04","4/8/2020","4","8","2020","114","3","China","CN"
"2020-08-05","5/8/2020","5","8","2020","107","4","China","CN"
"2020-08-06","6/8/2020","6","8","2020","122","1","China","CN"
"2020-08-07","7/8/2020","7","8","2020","132","3","China","CN"
"2020-08-08","8/8/2020","8","8","2020","120","1","China","CN"
"2020-08-09","9/8/2020","9","8","2020","92","0","China","CN"
"2020-08-10","10/8/2020","10","8","2020","121","5","China","CN"
"2020-08-11","11/8/2020","11","8","2020","113","4","China","CN"
"2020-08-12","12/8/2020","12","8","2020","58","3","China","CN"
"2020-08-13","13/08/2020","13","8","2020","81","4","China","CN"
"2020-08-14","14/08/2020","14","8","2020","99","3","China","CN"
"2020-08-15","15/08/2020","15","8","2020","70","1","China","CN"
"2020-08-16","16/08/2020","16","8","2020","65","2","China","CN"
"2020-08-17","17/08/2020","17","8","2020","96","0","China","CN"
"2020-08-18","18/08/2020","18","8","2020","66","0","China","CN"
"2020-08-19","19/08/2020","19","8","2020","53","2","China","CN"
"2020-08-20","20/08/2020","20","8","2020","33","1","China","CN"
"2020-08-21","21/08/2020","21","8","2020","40","3","China","CN"
"2020-08-22","22/08/2020","22","8","2020","49","2","China","CN"
"2020-08-23","23/08/2020","23","8","2020","38","0","China","CN"
"2020-08-24","24/08/2020","24","8","2020","41","0","China","CN"
"2020-08-25","25/08/2020","25","8","2020","23","0","China","CN"
"2020-08-26","26/08/2020","26","8","2020","34","1","China","CN"
"2020-08-27","27/08/2020","27","8","2020","32","1","China","CN"
"2020-08-28","28/08/2020","28","8","2020","30","2","China","CN"
"2020-08-29","29/08/2020","29","8","2020","22","3","China","CN"
"2020-08-30","30/08/2020","30","8","2020","27","3","China","CN"
"2020-08-31","31/08/2020","31","8","2020","32","1","China","CN"
"2020-09-01","1/9/2020","1","9","2020","19","1","China","CN"
"2020-09-02","2/9/2020","2","9","2020","20","1","China","CN"
"2020-09-03","3/9/2020","3","9","2020","19","3","China","CN"
"2020-09-04","4/9/2020","4","9","2020","33","1","China","CN"
"2020-09-05","5/9/2020","5","9","2020","22","0","China","CN"
"2020-09-06","6/9/2020","6","9","2020","17","0","China","CN"
"2020-09-07","7/9/2020","7","9","2020","33","2","China","CN"
"2020-09-08","8/9/2020","8","9","2020","21","2","China","CN"
"2020-09-09","9/9/2020","9","9","2020","8","1","China","CN"
"2020-09-10","10/9/2020","10","9","2020","13","0","China","CN"
"2020-09-11","11/9/2020","11","9","2020","27","0","China","CN"
"2020-09-12","12/9/2020","12","9","2020","18","0","China","CN"
"2020-09-13","13/09/2020","13","9","2020","23","1","China","CN"
"2020-09-14","14/09/2020","14","9","2020","29","0","China","CN"
"2020-09-15","15/09/2020","15","9","2020","22","1","China","CN"
"2020-09-16","16/09/2020","16","9","2020","24","1","China","CN"
"2020-09-17","17/09/2020","17","9","2020","7","0","China","CN"
"2020-09-18","18/09/2020","18","9","2020","44","0","China","CN"
"2020-09-19","19/09/2020","19","9","2020","14","1","China","CN"
"2020-09-20","20/09/2020","20","9","2020","25","0","China","CN"
"2020-09-21","21/09/2020","21","9","2020","36","0","China","CN"
"2020-09-22","22/09/2020","22","9","2020","12","0","China","CN"
"2020-09-23","23/09/2020","23","9","2020","18","0","China","CN"
"2020-09-24","24/09/2020","24","9","2020","10","1","China","CN"
"2020-09-25","25/09/2020","25","9","2020","15","0","China","CN"
"2020-09-26","26/09/2020","26","9","2020","17","1","China","CN"
"2020-09-27","27/09/2020","27","9","2020","15","0","China","CN"
"2020-09-28","28/09/2020","28","9","2020","27","0","China","CN"
"2020-09-29","29/09/2020","29","9","2020","22","0","China","CN"
"2020-09-30","30/09/2020","30","9","2020","23","0","China","CN"
"2020-10-01","1/10/2020","1","10","2020","0","0","China","CN"
"2020-10-02","2/10/2020","2","10","2020","39","0","China","CN"
"2020-10-03","3/10/2020","3","10","2020","17","0","China","CN"
"2020-10-04","4/10/2020","4","10","2020","20","0","China","CN"
"2020-10-05","5/10/2020","5","10","2020","25","0","China","CN"
"2020-10-06","6/10/2020","6","10","2020","23","0","China","CN"
"2020-10-07","7/10/2020","7","10","2020","15","0","China","CN"
"2020-10-08","8/10/2020","8","10","2020","22","0","China","CN"
"2020-10-09","9/10/2020","9","10","2020","39","0","China","CN"
"2020-10-10","10/10/2020","10","10","2020","29","0","China","CN"
"2020-10-11","11/10/2020","11","10","2020","21","0","China","CN"
"2020-10-12","12/10/2020","12","10","2020","34","0","China","CN"
"2020-10-13","13/10/2020","13","10","2020","18","0","China","CN"
"2020-10-14","14/10/2020","14","10","2020","28","0","China","CN"
"2020-10-15","15/10/2020","15","10","2020","11","0","China","CN"
"2020-10-16","16/10/2020","16","10","2020","36","0","China","CN"
"2020-10-17","17/10/2020","17","10","2020","20","0","China","CN"
"2020-10-18","18/10/2020","18","10","2020","30","0","China","CN"
"2020-10-19","19/10/2020","19","10","2020","17","0","China","CN"
"2020-10-20","20/10/2020","20","10","2020","34","0","China","CN"
"2020-10-21","21/10/2020","21","10","2020","16","0","China","CN"
"2020-10-22","22/10/2020","22","10","2020","22","0","China","CN"
"2020-10-23","23/10/2020","23","10","2020","29","0","China","CN"
"2020-10-24","24/10/2020","24","10","2020","33","0","China","CN"
"2020-10-25","25/10/2020","25","10","2020","19","0","China","CN"
"2020-10-26","26/10/2020","26","10","2020","26","0","China","CN"
"2020-10-27","27/10/2020","27","10","2020","24","0","China","CN"
"2020-10-28","28/10/2020","28","10","2020","42","0","China","CN"
"2020-10-29","29/10/2020","29","10","2020","24","0","China","CN"
"2020-10-30","30/10/2020","30","10","2020","25","0","China","CN"
"2020-10-31","31/10/2020","31","10","2020","33","0","China","CN"
"2020-11-01","1/11/2020","1","11","2020","24","0","China","CN"
"2020-11-02","2/11/2020","2","11","2020","24","0","China","CN"
"2020-11-03","3/11/2020","3","11","2020","49","0","China","CN"
"2020-11-04","4/11/2020","4","11","2020","16","0","China","CN"
"2020-11-05","5/11/2020","5","11","2020","27","0","China","CN"
"2020-11-06","6/11/2020","6","11","2020","32","0","China","CN"
"2020-11-07","7/11/2020","7","11","2020","33","0","China","CN"
"2020-11-08","8/11/2020","8","11","2020","24","0","China","CN"
"2020-11-09","9/11/2020","9","11","2020","32","0","China","CN"
"2020-11-10","10/11/2020","10","11","2020","20","0","China","CN"
"2020-11-11","11/11/2020","11","11","2020","13","0","China","CN"
"2020-11-12","12/11/2020","12","11","2020","10","0","China","CN"
"2020-11-13","13/11/2020","13","11","2020","0","0","China","CN"
"2020-11-14","14/11/2020","14","11","2020","15","0","China","CN"
"2020-11-15","15/11/2020","15","11","2020","11","0","China","CN"
"2020-11-16","16/11/2020","16","11","2020","7","0","China","CN"
"2020-11-17","17/11/2020","17","11","2020","15","0","China","CN"
"2020-11-18","18/11/2020","18","11","2020","8","0","China","CN"
"2020-11-19","19/11/2020","19","11","2020","12","0","China","CN"
"2020-11-20","10/11/2020","20","11","2020","17","0","China","CN"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
