"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-05-17","17/05/2020","17","5","2020","48","19","Japan","JP"
"2020-05-18","18/05/2020","18","5","2020","20","5","Japan","JP"
"2020-05-19","19/05/2020","19","5","2020","60","14","Japan","JP"
"2020-05-20","20/05/2020","20","5","2020","20","8","Japan","JP"
"2020-05-21","21/05/2020","21","5","2020","39","6","Japan","JP"
"2020-05-22","22/05/2020","22","5","2020","89","19","Japan","JP"
"2020-05-23","23/05/2020","23","5","2020","23","12","Japan","JP"
"2020-05-24","24/05/2020","24","5","2020","14","12","Japan","JP"
"2020-05-25","25/05/2020","25","5","2020","31","10","Japan","JP"
"2020-05-26","26/05/2020","26","5","2020","42","16","Japan","JP"
"2020-05-27","27/05/2020","27","5","2020","28","12","Japan","JP"
"2020-05-28","28/05/2020","28","5","2020","0","0","Japan","JP"
"2020-05-29","29/05/2020","29","5","2020","68","16","Japan","JP"
"2020-05-30","30/05/2020","30","5","2020","85","12","Japan","JP"
"2020-05-31","31/05/2020","31","5","2020","47","5","Japan","JP"
"2020-06-01","1/6/2020","1","6","2020","33","1","Japan","JP"
"2020-06-02","2/6/2020","2","6","2020","46","2","Japan","JP"
"2020-06-03","3/6/2020","3","6","2020","56","6","Japan","JP"
"2020-06-04","4/6/2020","4","6","2020","32","3","Japan","JP"
"2020-06-05","5/6/2020","5","6","2020","46","4","Japan","JP"
"2020-06-06","6/6/2020","6","6","2020","39","7","Japan","JP"
"2020-06-07","7/6/2020","7","6","2020","38","2","Japan","JP"
"2020-06-08","8/6/2020","8","6","2020","33","0","Japan","JP"
"2020-06-09","9/6/2020","9","6","2020","36","0","Japan","JP"
"2020-06-10","10/6/2020","10","6","2020","41","3","Japan","JP"
"2020-06-11","11/6/2020","11","6","2020","41","1","Japan","JP"
"2020-06-12","12/6/2020","12","6","2020","40","2","Japan","JP"
"2020-06-13","13/06/2020","13","6","2020","50","2","Japan","JP"
"2020-06-14","14/06/2020","14","6","2020","47","1","Japan","JP"
"2020-06-15","15/06/2020","15","6","2020","73","0","Japan","JP"
"2020-06-16","16/06/2020","16","6","2020","85","2","Japan","JP"
